filename,start,end,label
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,11.566483,11.610276,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,13.401621,13.498984,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,14.686813,14.737769,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,16.612638,16.654822,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,19.073403,19.115588,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,29.414709,29.482361,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,33.778223,33.854330,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,35.418768,35.465170,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//0-0-Raptor_model_canopy_GD_1minute.wav,46.629121,46.669507,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,0.900947,0.949482,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,1.598089,1.642212,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,2.780584,2.820295,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,3.640982,3.704293,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,4.219810,4.271362,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,5.142102,5.187209,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,5.709170,5.747834,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,6.437338,6.476001,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,7.608547,7.671198,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,8.709419,8.772070,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,9.738689,9.801341,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,12.844401,12.907052,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,13.712568,13.784170,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,15.386252,15.448903,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,16.739288,16.789879,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,17.236765,17.295787,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,18.476242,18.526833,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,19.732582,19.783173,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,20.491446,20.542037,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,21.174423,21.225014,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,21.823673,21.874263,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,22.818627,22.869218,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,25.560265,25.614577,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,28.263768,28.324114,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,28.855159,28.915505,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,30.618609,30.672503,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,31.712658,31.766552,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,32.380944,32.510289,?
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,33.351036,33.415709,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//2-0-Raptor_model_canopy_GA.wav,34.030101,34.067826,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,1.393592,1.468434,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,3.031126,3.115335,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,4.125315,4.200157,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,5.706346,5.753122,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,11.646740,11.716904,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,14.747994,14.818158,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,16.031284,16.140265,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,17.258266,17.305005,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,18.388005,18.456118,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,21.221519,21.289632,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,24.354732,24.450091,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,25.648885,25.730621,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,27.378964,27.447077,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,28.891079,28.972815,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,31.236762,31.346806,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,32.981745,33.060348,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,36.220183,36.296876,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,39.194591,39.288402,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,40.393286,40.466250,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,41.883837,41.946377,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,42.562399,42.609633,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,44.374107,44.451996,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,46.432603,46.488238,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,48.157289,48.224051,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,49.381260,49.448022,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,50.671993,50.727628,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,51.729058,51.773566,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,52.452314,52.507949,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,53.506019,53.533947,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//3-0-Raptor_model_canopy_GM.wav,54.332778,54.399540,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,0.812176,0.902463,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,1.692472,1.794044,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,3.148345,3.238632,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,4.118927,4.186642,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,5.586086,5.676373,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,6.929101,6.985530,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,8.125400,8.226973,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,8.847694,8.915409,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,9.739275,9.806990,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,11.240292,11.319292,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,12.872811,12.938506,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,13.628307,13.694002,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,14.630160,14.687644,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,15.147511,15.213206,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,15.878371,15.935854,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,16.469629,16.527112,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,17.734264,17.791747,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,18.473336,18.530819,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,19.811878,19.869361,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,20.526314,20.583798,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,22.970250,23.047978,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,23.969614,24.058446,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,26.468024,26.545753,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,28.200255,28.266880,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,33.197076,33.285908,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-1-Raptor_model_canopy_GP_first_26calls.wav,34.116376,34.161043,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-2-Raptor_model_canopy_GP_last_4_calls.wav,1.635227,1.682459,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-2-Raptor_model_canopy_GP_last_4_calls.wav,3.477308,3.524541,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-2-Raptor_model_canopy_GP_last_4_calls.wav,4.906102,4.947431,A
/home/juan/projects/mcr_corpus/outputs/Titi_monkey/Raptor_model_canopy/wav//4-2-Raptor_model_canopy_GP_last_4_calls.wav,5.809431,5.868472,A
